fid,Code_Commu,Code_Provi,CODE_REGIO,nom,Marocains_,Etrangers_,Populati_1,Menages_,nom_arabe,longitude,latitude
1,05.081.11.01.,05.081.,5.0,C d'Afourar,20210,5,20215,5050,جماعة أفورار,-6.52496,32.19043
2,05.091.05.01.,05.091.,5.0,C d'Aghbala,13372,1,13373,3622,جماعة اغبالة,-5.59543,32.38816
3,05.301.05.01.,05.301.,5.0,C d'Aguelmam Azegza,6781,0,6781,1716,جماعة أكلمام أزكزا,-5.41885,32.93289
4,05.301.07.03.,05.301.,5.0,C d'Aguelmous,36557,3,36560,9374,جماعة أكلموس,-5.85133,33.14707
5,05.311.03.01.,05.311.,5.0,C d'Ain Kaicher,3900,0,3900,1036,جماعة عين قيشر,-6.52533,32.75216
6,05.081.03.03.,05.081.,5.0,C d'Ait Abbas,13548,0,13548,2235,جماعة آيت عباس,-6.61424,31.73515
7,05.311.07.01.,05.311.,5.0,C d'Ait Ammar,3392,0,3392,872,جماعة آيت عمار,-6.65463,33.04081
8,05.081.15.01.,05.081.,5.0,C d'Ait Blal,7840,0,7840,1334,جماعة آيت ابلال,-6.70657,31.67548
9,05.081.03.05.,05.081.,5.0,C d'Ait Bou Oulli,11992,0,11992,1866,جماعة آيت بواولي,-6.63593,31.56918
10,05.301.03.01.,05.301.,5.0,C d'Ait Ishaq,17843,4,17847,4975,جماعة آيت إسحاق,-5.77849,32.74765
11,05.081.15.03.,05.081.,5.0,C d'Ait Majden,18538,0,18538,3851,جماعة آيت ماجدن,-6.9129,31.80277
12,05.081.03.01.,05.081.,5.0,C d'Agoudi N'lkhair,11963,1,11964,2228,جماعة أكودي نلخير,-6.48969,31.99066
13,05.081.09.03.,05.081.,5.0,C d'Ait Mazigh,2764,1,2765,613,جماعة آيت مزيغ,-6.34301,32.03262
14,05.081.11.05.,05.081.,5.0,C d'Ait Ouaarda,1459,0,1459,279,جماعة آيت وعرضى,-6.53731,32.1427
15,05.091.07.03.,05.091.,5.0,C d'Ait Oum El Bekht,7863,0,7863,2072,جماعة آيت أم البخت,-5.92302,32.65557
16,05.081.13.05.,05.081.,5.0,C d'Ait Oumdis,13908,0,13908,2449,جماعة آيت أومديس,-7.06582,31.47968
17,05.081.09.07.,05.081.,5.0,C d'Ait Ouqabli,3405,0,3405,875,جماعة آيت أو قبلي,-6.03475,32.30914
18,05.301.03.03.,05.301.,5.0,C d'Ait Saadelli,2629,0,2629,634,جماعة آيت سعدلي,-5.35327,32.66757
19,05.081.09.09.,05.081.,5.0,C d'Anergui,3976,0,3976,911,جماعة انركي,-5.95656,32.08315
20,05.081.13.09.,05.081.,5.0,C d'Anzou,16554,0,16554,3262,جماعة انزو,-7.23694,31.67
21,05.081.01.01.,05.081.,5.0,C d'Azilal,48122,16,48138,11375,جماعة أزيلال,-6.57708,31.95789
22,05.311.01.01.,05.311.,5.0,Bejaad,47201,8,47209,13154,جماعة أبي الجعد,-6.3928,32.77026
23,05.091.01.01.,05.091.,5.0,Béni Mellal,209105,489,209594,56987,جماعة بني ملال,-6.36428,32.32809
24,05.081.09.11.,05.081.,5.0,Bin El Ouidane,4597,8,4605,1098,جماعة بين الويدان,-6.47111,32.10241
25,05.311.05.01.,05.311.,5.0,Bir Mezoui,5616,1,5617,1404,جماعة بئر مزوي,-6.78653,32.84791
26,05.081.11.03.,05.081.,5.0,Bni A'yat,23674,1,23675,5318,جماعة بني عياط,-6.66965,32.20196
27,05.311.03.03.,05.311.,5.0,Bni Bataou,4191,0,4191,1040,جماعة بني بتاو,-6.24824,32.88585
28,05.255.09.03.,05.255.,5.0,Bni Chegdale,10413,0,10413,2355,جماعة بني شكدال,-6.91869,32.45228
29,05.081.03.09.,05.081.,5.0,Tabant,16399,2,16401,2910,جماعة تبانت,-6.35456,31.68079
30,05.081.09.17.,05.081.,5.0,Tabaroucht,3877,0,3877,803,جماعة تبروشت,-6.20738,32.12632
31,05.081.05.15.,05.081.,5.0,Tabia,7354,0,7354,1639,جماعة تابية,-6.8419,31.99649
32,05.311.03.15.,05.311.,5.0,Tachraft,3082,0,3082,834,جماعة تشرافت,-6.44519,32.76193
33,05.081.05.01.,05.081.,5.0,C d'Ait Taguella,8656,6,8662,1956,جماعة آيت تكلا,-6.74355,31.94866
34,05.081.03.07.,05.081.,5.0,C d'Ait M'hamed,23530,1,23531,4183,جماعة آيت امحمد,-6.48168,31.84375
35,05.081.05.05.,05.081.,5.0,Bni Hassane,12389,1,12390,2687,جماعة بني حسان,-6.92522,32.03134
36,05.255.09.05.,05.255.,5.0,Bni Oukil,14097,0,14097,3158,جماعة بني وكيل,-6.85179,32.57187
37,05.255.01.09.,05.255.,5.0,C d'Ouled Ayad,24561,3,24564,5853,جماعة أولاد عياد,-6.79932,32.20104
38,05.311.05.15.,05.311.,5.0,C d'Oulad Azzouz,8983,0,8983,1989,جماعة أولاد عزوز,-6.75224,32.74225
39,05.301.07.09.,05.301.,5.0,Had Bouhssoussen,7303,0,7303,1879,جماعة أحد بوحسوسن,-6.11759,33.11784
40,05.255.11.03.,05.255.,5.0,Had Boumoussa,41153,1,41154,8985,جماعة أحد بوموسى,-7.00431,32.26053
41,05.091.11.01.,05.091.,5.0,Guettaya,13152,1,13153,3135,جماعة كطاية,-6.29507,32.56829
42,05.081.09.13.,05.081.,5.0,C d'Isseksi,1464,0,1464,369,جماعة اسكسي,-6.29075,32.22054
43,05.301.07.17.,05.301.,5.0,C d'Oum Rabia,7820,1,7821,1959,جماعة أم الربيع,-5.42385,33.08055
44,05.081.13.07.,05.081.,5.0,C d'Ait Tamlil,18091,0,18091,3246,جماعة آيت تمليل,-6.85245,31.4596
45,05.255.09.01.,05.255.,5.0,Khalfia,13766,0,13766,3279,جماعة خلفية,-6.54075,32.53064
46,05.311.01.07.,05.311.,5.0,Khouribga,195562,369,195931,49840,جماعة خريبكة,-6.90618,32.87953
47,05.255.09.11.,05.255.,5.0,Krifate,28601,0,28601,6576,جماعة كريفات,-6.69965,32.54098
48,05.255.11.07.,05.255.,5.0,C d'Ouled Nacer,26731,2,26733,5836,جماعة أولاد ناصر,-6.77532,32.25716
49,05.081.15.15.,05.081.,5.0,Sidi Boulkhalf,16229,0,16229,3028,جماعة سيدي بولخلف,-6.84282,31.68573
50,05.301.07.19.,05.301.,5.0,Sebt Ait Rahou,8018,0,8018,2125,جماعة سبت آيت رحو,-6.29892,33.28628
51,05.301.05.11.,05.301.,5.0,Lehri,8668,1,8669,2113,جماعة لهري,-5.59695,32.83759
52,05.301.01.01.,05.301.,5.0,Khenifra,123686,52,123738,34147,جماعة خنيفرة,-5.66587,32.93584
53,05.311.05.03.,05.311.,5.0,Bni Ykhlef,8928,0,8928,2134,جماعة بني يخلف,-6.85542,32.98129
54,05.311.03.05.,05.311.,5.0,Bni Zrantel,5533,0,5533,1367,جماعة بني زرنتل,-6.16503,32.75805
55,05.311.01.03.,05.311.,5.0,Boujniba,14721,1,14722,3755,جماعة بوجنيبة,-6.77683,32.89398
56,05.311.03.07.,05.311.,5.0,Boukhrisse,4323,0,4323,1059,جماعة بوخريص,-6.17432,32.84513
57,05.311.05.05.,05.311.,5.0,Boulanouare,15041,2,15043,3799,جماعة بولنوار,-6.82091,32.90966
58,05.255.01.11.,05.255.,5.0,Souk Sebt Ouled Nemma,60282,11,60293,14168,جماعة سوق السبت أولاد النمة,-6.70763,32.29364
59,05.091.01.03.,05.091.,5.0,C d'El Ksiba,19954,10,19964,5922,جماعة القصيبة,-6.03403,32.56408
60,05.091.05.05.,05.091.,5.0,Boutferda,7952,0,7952,1581,جماعة بوتفردة,-5.78583,32.26656
61,05.255.09.07.,05.255.,5.0,Bradia,37061,3,37064,8836,جماعة برادية,-6.5211,32.42096
62,05.311.07.05.,05.311.,5.0,Braksa,6948,0,6948,1654,جماعة البراكسة,-6.35744,33.01305
63,05.081.05.07.,05.081.,5.0,Bzou,13601,1,13602,3563,جماعة بزو,-7.05429,32.0978
64,05.311.03.09.,05.311.,5.0,Chougrane,5591,0,5591,1357,جماعة الشكران,-6.32611,32.96462
65,05.255.11.01.,05.255.,5.0,Dar Ould Zidouh,30113,1,30114,6663,جماعة دار ولد زيدوح,-6.90004,32.34264
66,05.081.01.03.,05.081.,5.0,Demnate,33623,12,33635,7903,جماعة دمنات,-7.01312,31.7285
67,05.091.07.07.,05.091.,5.0,Dir El Ksiba,25849,2,25851,6528,جماعة دير القصيبة,-6.04975,32.57226
68,05.301.05.05.,05.301.,5.0,C d'El Borj,3266,0,3266,844,جماعة البرج,-5.61485,33.03499
69,05.311.05.09.,05.311.,5.0,C d'El Foqra,2965,0,2965,715,جماعة الفقراء,-6.96166,32.69569
70,05.091.07.11.,05.091.,5.0,Naour,5389,0,5389,1357,جماعة ناوور,-5.94823,32.4688
71,05.311.07.07.,05.311.,5.0,Kasbat Troch,8612,0,8612,1973,جماعة قصبة الطرش,-6.59289,32.9374
